                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.39916,                0.38394,                0.52307,                0.90646,                0.88001,                0.86347,                0.92474,                 0.8953,                0.88001,                0.86347,                0.92417,                0.90555,                0.24848,                0.26183,                0.40366,                0.66119,               0.007063,               0.007063,               0.007063
                     92,                0.40132,                0.38108,                0.51992,                0.90703,                0.90956,                0.83725,                0.92777,                 0.8975,                0.90956,                0.83725,                0.92744,                0.90819,                0.24547,                0.26368,                0.39865,                0.65756,                0.00703,                0.00703,                0.00703
                     93,                0.39378,                0.37797,                0.50849,                0.90501,                0.88913,                0.86257,                0.92464,                0.89538,                0.88913,                0.86257,                0.92407,                0.90459,                0.24104,                0.26124,                0.40033,                0.65311,               0.006997,               0.006997,               0.006997
                     94,                0.39545,                0.37681,                0.51824,                 0.9047,                0.91746,                0.83615,                0.92538,                0.89625,                0.91746,                0.83615,                0.92492,                0.90529,                 0.2398,                 0.2609,                0.39791,                0.65206,               0.006964,               0.006964,               0.006964
                     95,                0.39511,                0.37622,                0.51163,                0.90393,                0.90069,                0.85201,                0.92362,                0.89339,                0.90069,                0.85201,                0.92324,                0.90326,                0.23953,                0.25509,                0.39122,                0.65011,               0.006931,               0.006931,               0.006931
                     96,                0.39348,                0.38014,                0.51077,                0.90569,                0.89812,                0.84702,                0.92393,                0.89345,                0.89812,                0.84702,                0.92346,                0.90383,                  0.245,                0.25568,                0.40292,                0.65439,               0.006898,               0.006898,               0.006898
                     97,                0.39756,                0.37211,                0.50633,                0.90736,                0.89414,                0.86043,                0.92778,                0.89783,                0.89387,                0.86014,                0.92722,                0.90588,                0.24311,                0.25863,                0.39546,                0.65308,               0.006865,               0.006865,               0.006865
                     98,                 0.3959,                0.36814,                0.50367,                0.90474,                0.89014,                0.87362,                0.93018,                0.89698,                0.88971,                0.87352,                0.93028,                0.90922,                0.24378,                 0.2531,                0.39632,                0.65491,               0.006832,               0.006832,               0.006832
                     99,                0.39647,                0.37802,                0.50619,                0.90665,                0.89042,                0.87751,                0.93432,                0.89936,                0.89042,                0.87751,                 0.9339,                0.91334,                0.24403,                0.25703,                0.39252,                 0.6546,               0.006799,               0.006799,               0.006799
                    100,                0.39701,                0.38689,                0.50776,                0.90567,                0.90692,                0.86027,                0.93724,                0.90345,                0.90692,                0.86027,                0.93673,                0.91702,                0.24595,                0.25616,                0.38379,                0.65527,               0.006766,               0.006766,               0.006766
                    101,                0.39635,                0.37183,                0.49808,                0.90618,                 0.8937,                0.85723,                0.93622,                0.90819,                 0.8937,                0.85723,                0.93594,                0.91717,                0.24092,                0.25686,                0.38615,                0.65388,               0.006733,               0.006733,               0.006733
                    102,                0.39491,                0.37108,                0.49988,                0.90828,                0.90889,                0.85503,                0.93731,                0.90911,                0.90889,                0.85503,                0.93639,                0.91873,                0.24093,                0.25855,                0.38824,                0.65353,                 0.0067,                 0.0067,                 0.0067
                    103,                0.39021,                0.37729,                0.49499,                0.90425,                0.89909,                0.86605,                0.93496,                0.90593,                0.89909,                0.86605,                0.93387,                0.91609,                0.23927,                0.25761,                0.39137,                0.65139,               0.006667,               0.006667,               0.006667
                    104,                0.39835,                0.38307,                0.49781,                0.90598,                0.90738,                0.86014,                0.93489,                0.90372,                 0.9062,                0.85924,                0.93383,                0.91571,                0.24178,                0.25708,                0.38831,                0.65313,               0.006634,               0.006634,               0.006634
                    105,                0.39311,                0.37815,                0.49349,                0.90356,                0.91344,                0.85368,                0.93432,                0.90071,                0.91344,                0.85368,                0.93421,                 0.9131,                0.24127,                0.25934,                0.38891,                0.65336,               0.006601,               0.006601,               0.006601
